CustID,Sex,BirthDate,College,HouseholdSize,Income,Spending2020,Spending2021,NumOfOrders,DaysSinceLast,Satisfaction,Channel
1530016,Female,12/16/1986,Yes,5,53000,287,241,3,101,Very Dissatisfied,SM
1531136,Male,5/9/1993,Yes,5,94000,1227,843,12,262,Neutral,TV
1532160,Male,5/22/1966,Yes,2,64000,523,719,9,122,Very Satisfied,TV
1532307,Male,9/16/1964,Yes,4,60000,516,582,13,129,Very Dissatisfied,SM
1532356,Female,7/15/1964,No,5,47000,555,845,7,97,Very Dissatisfied,Web
1532387,Male,8/27/1957,Yes,2,67000,631,452,9,150,Neutral,SM
1533017,Female,5/14/1985,Yes,3,84000,229,153,2,144,Very Satisfied,Web
1533561,Male,2/10/1981,Yes,5,76000,1474,1079,23,122,Very Satisfied,Referral
1533697,Female,10/8/1974,Yes,3,42000,300,247,3,238,Very Satisfied,Web
1533766,Male,9/16/1971,Yes,2,71000,925,708,4,171,Neutral,TV
1533791,Male,10/27/1999,Yes,1,97000,828,1028,17,110,Very Dissatisfied,Web
1533917,Female,3/3/1993,Yes,3,64000,768,915,15,19,Very Satisfied,Referral
1534502,Male,12/26/1989,Yes,2,114000,938,665,7,262,Very Dissatisfied,TV
1534928,Male,1/18/1959,Yes,5,96000,631,796,13,68,Neutral,Referral
1535063,Female,12/17/1982,Yes,3,42000,341,313,4,300,Very Dissatisfied,TV
1535406,Male,2/4/1984,No,5,55000,129,100,1,80,Very Dissatisfied,Web
1535449,Male,9/21/1958,No,2,56000,435,384,6,180,Very Dissatisfied,TV
1535927,Male,1/12/1979,Yes,1,66000,1283,879,10,35,Very Satisfied,Referral
1536475,Male,5/17/1958,Yes,2,73000,1276,1108,20,56,Neutral,Web
1536814,Male,7/25/1962,Yes,5,86000,478,401,3,80,Very Dissatisfied,Web
1537373,Female,1/20/1972,No,5,44000,615,748,15,295,Very Satisfied,Web
1537553,Female,7/7/1961,No,4,36000,153,141,2,360,Very Satisfied,TV
1538886,Male,9/15/1996,Yes,2,94000,590,524,7,177,Somewhat Satisfied,Referral
1539494,Male,11/17/1973,Yes,4,54000,451,307,6,35,Neutral,Web
1539808,Male,8/2/1954,Yes,5,82000,389,486,6,167,Neutral,Web
1539941,Male,6/22/1994,No,1,42000,697,1150,22,267,Very Satisfied,Referral
1539995,Female,10/12/1956,Yes,2,96000,631,802,17,354,Somewhat Satisfied,TV
1540076,Male,1/24/1978,Yes,5,60000,63,113,1,178,Very Satisfied,TV
1540183,Male,2/27/1991,Yes,1,91000,1018,800,10,6,Somewhat Satisfied,Web
1540217,Male,10/22/1969,Yes,1,76000,546,1037,26,271,Somewhat Satisfied,SM
1540539,Male,5/28/1960,Yes,5,100000,50,50,1,240,Somewhat Satisfied,Web
1540604,Female,4/22/1970,Yes,3,73000,428,539,5,12,Very Satisfied,Web
1541742,Male,3/15/1960,Yes,2,106000,775,536,12,140,Somewhat Dissatisfied,Referral
1541931,Male,1/4/1956,Yes,3,55000,561,587,11,302,Somewhat Satisfied,TV
1542099,Male,7/6/1984,Yes,2,86000,234,314,7,96,Somewhat Dissatisfied,SM
1542147,Male,3/27/1989,Yes,5,51000,398,573,8,218,Somewhat Satisfied,SM
1542352,Male,4/3/1978,Yes,4,60000,84,132,3,349,Neutral,SM
1542818,Female,12/10/1960,Yes,1,63000,969,814,14,58,Neutral,TV
1543502,Male,4/6/1982,Yes,2,55000,461,563,12,17,Somewhat Satisfied,SM
1543582,Male,4/23/1973,Yes,3,101000,1166,1064,13,108,Somewhat Dissatisfied,Web
1543734,Male,3/6/1990,Yes,5,69000,390,442,3,265,Somewhat Satisfied,TV
1543850,Male,12/7/1953,Yes,1,66000,1851,1241,21,315,Very Satisfied,SM
1543988,Male,6/19/1963,Yes,3,83000,449,813,11,263,Somewhat Satisfied,Web
1544003,Male,5/8/1984,Yes,4,68000,1357,1214,31,95,Somewhat Satisfied,Referral
1544391,Male,8/20/1997,Yes,2,68000,1314,1027,25,92,Somewhat Satisfied,TV
1544417,Male,3/14/1980,Yes,4,46000,299,369,3,281,Somewhat Satisfied,TV
1544461,Female,8/3/1972,No,5,47000,328,300,4,66,Neutral,SM
1544588,Male,9/1/1995,Yes,3,78000,562,1057,16,224,Neutral,SM
1544628,Male,9/15/1983,Yes,3,69000,215,173,3,11,Somewhat Satisfied,Web
1544649,Male,11/19/1962,No,4,55000,1081,1116,28,328,Somewhat Dissatisfied,TV
1544764,Female,12/16/1995,Yes,5,97000,1272,911,16,59,Somewhat Satisfied,Web
1545054,Male,5/11/1984,Yes,5,102000,356,626,9,320,Very Satisfied,Referral
1545822,Male,10/17/1964,Yes,4,96000,613,1196,9,240,Very Satisfied,Web
1546050,Male,3/3/1965,Yes,2,148000,1172,892,19,9,Somewhat Satisfied,TV
1546105,Male,7/13/1960,Yes,2,123000,1000,799,8,360,Somewhat Satisfied,Referral
1546138,Female,3/8/1981,Yes,1,72000,1170,1125,26,100,Somewhat Satisfied,SM
1546179,Female,9/22/1974,Yes,4,50000,911,850,10,47,Somewhat Satisfied,SM
1546224,Other,9/25/1980,Yes,5,99000,228,417,9,76,Somewhat Satisfied,Web
1546623,Female,5/24/1980,Yes,2,56000,723,1038,22,188,Somewhat Satisfied,Referral
1546870,Female,5/24/1963,Yes,4,71000,870,1127,19,40,Very Satisfied,Referral
1547473,Male,11/26/1992,Yes,4,65000,42,78,2,11,Somewhat Satisfied,Referral
1547620,Male,11/5/1962,Yes,2,63000,95,113,2,241,Somewhat Satisfied,TV
1547771,Male,3/10/1996,Yes,3,56000,679,790,10,352,Neutral,Web
1547864,Female,6/15/1987,Yes,2,44000,397,500,5,333,Somewhat Satisfied,TV
1548038,Male,10/13/1996,No,3,72000,182,163,1,52,Somewhat Satisfied,Web
1548419,Female,5/27/1954,No,4,42000,476,453,4,26,Very Satisfied,Referral
1549186,Male,3/18/1957,Yes,2,94000,967,764,7,262,Neutral,TV
1549239,Male,7/8/1990,Yes,1,151000,667,688,17,296,Very Satisfied,SM
1549430,Male,3/26/1998,Yes,2,97000,1334,1020,24,176,Somewhat Satisfied,TV
1549535,Male,10/5/1961,Yes,4,87000,438,538,8,320,Somewhat Satisfied,Web
1549652,Female,12/3/1957,Yes,4,94000,572,767,7,227,Somewhat Dissatisfied,TV
1549708,Male,6/1/1964,Yes,3,78000,516,388,8,330,Very Satisfied,Web
1550134,Male,1/7/1997,Yes,4,91000,571,423,6,18,Somewhat Satisfied,TV
1550268,Female,10/9/1991,YES,5,62000,986,862,19,273,Very Satisfied,Web
1550307,Male,11/26/1954,Yes,1,97000,887,1195,12,49,Somewhat Dissatisfied,Referral
1550486,Prefer not to respond,4/28/1955,No,3,122000,124,130,1,205,Very Satisfied,TV
1550596,Female,6/20/1987,Yes,5,92000,125,183,1,26,Neutral,Referral
1550597,Male,5/4/1963,Yes,1,93000,618,489,7,308,Somewhat Satisfied,TV
1550751,Male,1/15/1953,Yes,3,56000,65,87,1,341,Somewhat Satisfied,Web
1550842,Male,11/3/1984,Yes,4,60000,403,684,14,195,Very Satisfied,TV
1550969,Female,4/8/1978,Yes,4,47000,1045,774,16,76,Neutral,TV
1551391,Female,6/10/1987,Yes,,63000,105,188,4,183,Somewhat Satisfied,Web
1551454,Male,8/5/1999,Yes,3,94000,675,580,15,342,Very Satisfied,Web
1551735,Male,9/27/1976,Yes,4,73000,107,148,4,214,Neutral,Web
1551796,Male,11/14/1961,No,4,46000,1730,1206,19,159,Very Satisfied,Web
1552447,Female,7/1/1996,Yes,1,55000,312,602,5,200,Somewhat Dissatisfied,Web
1552841,Female,9/14/1976,Yes,3,52000,860,582,12,218,Somewhat Satisfied,Referral
1553405,Female,1/9/1964,Yes,1,50000,1566,1193,27,251,Somewhat Satisfied,SM
1553430,Male,11/10/1952,Yes,4,77000,707,587,5,180,Very Satisfied,Referral
1553530,Male,9/15/2000,Yes,5,109000,1028,1113,13,29,Somewhat Satisfied,Web
1553559,Male,8/26/1997,Yes,4,68000,87,82,2,149,Somewhat Dissatisfied,SM
1553637,Male,8/27/1958,Yes,5,57000,547,900,15,158,Somewhat Satisfied,SM
1553660,Female,8/2/1988,Yes,2,47000,698,745,5,160,Somewhat Satisfied,SM
1553692,Male,4/23/1995,No,4,70000,63,60,1,288,Very Satisfied,Web
1553737,Female,8/20/1979,Yes,5,83000,1210,867,16,95,Neutral,TV
1553843,Male,11/13/1980,Yes,5,136000,363,289,4,89,Somewhat Satisfied,Web
1553952,Male,8/26/1984,No,5,43000,771,1250,20,267,Somewhat Satisfied,TV
1554342,Prefer not to respond,11/4/1969,Yes,1,97000,1495,1126,26,313,Somewhat Dissatisfied,TV
1554589,Male,9/20/1995,No,2,56000,1489,1226,12,12,Somewhat Satisfied,TV
1555143,Male,10/10/1975,Yes,1,84000,870,950,18,211,Somewhat Dissatisfied,Web
1555266,Male,4/4/1999,Yes,3,50000,324,482,11,130,Somewhat Satisfied,SM
1555356,Male,8/4/1987,Yes,3,89000,899,1004,16,132,Somewhat Satisfied,Web
1555414,Male,3/9/1956,No,5,109000,652,1046,10,351,Neutral,SM
1555438,Female,1/21/1966,Yes,5,65000,637,728,12,22,Somewhat Dissatisfied,Web
1555539,Female,6/10/1981,Yes,2,41000,913,1182,8,301,Very Satisfied,TV
1555659,Female,8/18/1994,Yes,3,42000,1456,1101,11,38,Very Satisfied,TV
1555979,Male,1/22/1956,Yes,2,69000,636,706,12,67,Somewhat Satisfied,TV
1556518,Female,6/25/1996,Yes,5,62000,794,724,19,305,Somewhat Satisfied,Referral
1556823,Female,4/26/1983,Yes,4,58000,686,1123,8,254,Somewhat Satisfied,Referral
1557181,Male,2/19/1969,Yes,1,105000,428,327,2,345,Very Satisfied,SM
1557273,Male,12/2/1966,Yes,2,61000,275,431,6,205,Somewhat Satisfied,Web
1557386,Male,9/23/1975,No,3,66000,706,564,4,69,Neutral,TV
1557407,Male,12/26/1976,Yes,4,48000,1398,1163,16,16,Somewhat Satisfied,Referral
1557679,Female,9/28/1984,Yes,2,72000,571,728,13,241,Somewhat Satisfied,TV
1557697,Female,2/28/1961,Yes,2,64000,1112,897,10,239,Somewhat Satisfied,SM
1557820,Male,9/13/1966,Yes,3,80000,578,568,10,353,Neutral,SM
1559734,Male,6/26/1968,Yes,1,75000,822,603,9,252,Neutral,TV
1560021,Male,6/28/1997,Yes,5,50000,181,210,3,309,Neutral,SM
1560248,Male,3/8/1977,No,2,54000,284,439,9,196,Somewhat Satisfied,Web
1560301,Male,3/23/1985,No,3,93000,553,907,17,164,Very Satisfied,Referral
1560457,Male,12/7/1989,Yes,3,46000,789,745,15,318,Somewhat Dissatisfied,SM
1560632,Female,11/15/1952,Yes,2,84000,532,467,11,108,Somewhat Satisfied,TV
1560809,Male,8/26/1983,Yes,4,58000,542,673,15,149,Somewhat Satisfied,SM
1560830,Female,2/4/1974,Yes,3,63000,463,383,9,145,Somewhat Satisfied,Web
1561447,Female,11/27/1974,Yes,3,43000,447,626,13,296,Somewhat Satisfied,SM
1562348,Female,12/2/1963,Yes,3,97000,877,860,7,115,Neutral,TV
1562398,Male,11/7/1987,No,5,70000,280,233,2,117,Somewhat Satisfied,Web
1562550,Female,9/19/1977,Yes,4,48000,1514,1106,26,342,Very Satisfied,TV
1562867,Female,7/2/1971,Yes,5,97000,660,739,5,76,Somewhat Satisfied,TV
1563068,Female,10/24/1993,No,5,38000,369,267,6,308,Somewhat Satisfied,TV
1563186,Male,3/22/1964,Yes,5,70000,779,871,13,76,Somewhat Satisfied,Web
1563296,Male,8/12/1999,Yes,3,95000,474,407,9,30,Very Satisfied,SM
1563548,Male,10/2/1988,Yes,5,167000,1019,692,12,221,Very Satisfied,SM
1563690,,5/11/1964,Yes,4,100000,281,221,4,354,Very Satisfied,Web
1563805,Female,5/21/1979,Yes,,54000,194,151,2,234,Somewhat Satisfied,Web
1563935,Male,3/14/1974,Yes,1,74000,1062,1075,28,145,Somewhat Satisfied,Web
1563995,Male,12/10/1958,Yes,2,109000,178,127,1,319,Very Satisfied,Web
1564191,Male,11/17/1995,No,3,38000,794,555,6,14,Somewhat Satisfied,Referral
1564329,Female,1/10/1982,Yes,4,102000,522,449,6,296,Somewhat Satisfied,Web
1565323,Female,7/28/1966,Yes,3,73000,451,421,10,180,Somewhat Satisfied,SM
1565499,Male,11/14/1983,Yes,1,69000,424,499,9,279,Somewhat Satisfied,Referral
1565587,Male,5/27/1985,Yes,4,91000,657,842,7,103,Somewhat Satisfied,TV
1565651,Male,2/1/1952,Yes,3,65000,1646,1110,7,250,Neutral,SM
1565786,Male,2/23/1960,Yes,3,80000,415,300,4,139,Neutral,Referral
1566013,Female,8/12/1999,Yes,1,34000,960,761,12,296,Somewhat Satisfied,SM
1566051,Male,9/25/1995,Yes,1,47000,274,517,10,345,Neutral,TV
1566110,Male,7/3/1966,No,3,51000,683,1092,22,358,Somewhat Satisfied,Web
1566529,Female,3/3/1992,Yes,3,78000,1164,1105,13,280,Somewhat Dissatisfied,Web
1567124,Female,12/9/1956,No,5,67000,610,1128,10,59,Neutral,Web
1567193,Female,10/15/1964,Yes,3,61000,1157,962,22,168,Somewhat Dissatisfied,TV
1567195,Male,7/13/1958,Yes,2,136000,333,563,14,15,Somewhat Satisfied,Web
1567250,Other,3/13/1977,Yes,4,77000,275,288,2,174,Somewhat Satisfied,SM
1567389,Female,12/9/2000,Yes,2,41000,1344,979,9,213,Very Satisfied,Web
1567469,Male,2/18/1960,Yes,1,87000,157,247,4,129,Somewhat Satisfied,Referral
1567597,Male,9/5/1981,No,1,71000,882,659,11,121,Very Satisfied,Referral
1567998,Female,5/27/1988,Yes,2,40000,653,556,5,100,Somewhat Satisfied,Referral
1568380,Female,8/19/1956,Yes,2,62000,1096,963,9,231,Neutral,TV
1568821,,6/27/1974,Yes,2,52000,572,698,10,345,Somewhat Satisfied,TV
1569187,Male,2/12/1956,Yes,4,68000,758,620,11,97,Somewhat Dissatisfied,Web
1569198,Male,6/3/1954,Yes,4,54000,835,920,23,331,Somewhat Satisfied,Web
1569840,Female,8/25/1989,Yes,1,44000,700,823,20,173,Somewhat Satisfied,Web
1570150,Female,3/8/1963,No,3,53000,947,1155,27,352,Very Satisfied,TV
1571158,Male,11/22/1979,Yes,1,74000,214,220,2,134,Somewhat Satisfied,Web
1571419,Female,8/17/1964,Yes,5,41000,1285,1137,18,44,Very Satisfied,Web
1571455,Male,3/5/1960,Yes,4,95000,585,1144,7,176,Very Satisfied,Web
1571457,Male,2/19/1996,Yes,1,99000,963,1099,13,248,Somewhat Satisfied,SM
1571887,Male,8/11/1976,Yes,5,99000,610,520,7,68,Neutral,SM
1571944,Male,11/20/1967,Yes,5,86000,312,226,2,100,Somewhat Satisfied,TV
1572715,Female,4/25/1997,No,4,43000,93,69,1,223,Somewhat Satisfied,TV
1572877,Female,7/28/1999,No,1,42000,245,183,4,60,Somewhat Satisfied,TV
1573196,Female,11/4/2000,Yes,4,70000,127,104,3,137,Neutral,Referral
1573273,Male,9/9/1975,Yes,5,110000,1497,1157,28,220,Somewhat Satisfied,Web
1573758,Female,6/7/2000,No,3,57000,531,986,15,13,Somewhat Satisfied,TV
1573908,Male,9/10/1990,No,4,71000,213,293,2,42,Very Satisfied,Referral
1574015,Male,4/25/1988,No,2,67000,708,549,12,133,Neutral,Web
1574042,Female,10/19/1974,Yes,3,108000,593,1044,9,213,Somewhat Satisfied,TV
1574047,Female,2/4/1972,Yes,1,49000,298,202,2,248,Somewhat Satisfied,TV
1574098,Other,11/24/1979,Yes,4,86000,75,68,1,176,Somewhat Satisfied,Referral
1574151,Female,1/28/1980,Yes,5,61000,778,1144,28,95,Somewhat Satisfied,TV
1574379,Male,9/1/1979,Yes,2,60000,514,636,10,265,Neutral,Referral
1574687,Female,10/12/1968,Yes,1,54000,266,338,5,281,Very Satisfied,Referral
1574764,Female,2/19/1980,Yes,4,87000,841,689,7,181,Somewhat Satisfied,TV
1574841,Female,11/6/1981,Yes,2,57000,1212,1122,28,228,Very Satisfied,Referral
1575294,Male,8/25/1963,Yes,3,75000,175,172,2,211,Somewhat Satisfied,Referral
1575448,Male,6/19/1998,Yes,4,100000,486,437,5,223,Somewhat Satisfied,Referral
1575538,Male,11/2/1996,Yes,5,129000,813,949,24,140,Neutral,Web
1575993,Male,11/10/1986,Yes,3,92000,406,409,3,294,Somewhat Satisfied,SM
1576211,Female,8/14/1985,No,1,31000,1336,1244,15,280,Very Satisfied,Web
1576752,Male,7/18/1968,Yes,4,82000,1322,1241,11,159,Very Satisfied,TV
1576984,Male,2/20/1966,Yes,4,87000,152,247,6,148,Neutral,Web
1577095,Male,12/4/1997,Yes,2,58000,471,319,2,128,Somewhat Satisfied,SM
1577691,Male,3/27/1976,Yes,5,97000,70,89,2,205,Somewhat Satisfied,TV
1577940,Female,2/27/1973,Yes,5,94000,634,1206,18,181,Somewhat Satisfied,Web
1578327,Male,8/24/1967,Yes,1,49000,1015,760,11,136,Neutral,SM
1578472,Female,7/4/1962,Yes,2,76000,385,322,7,344,Very Satisfied,Web
1578525,Male,12/12/1963,Yes,1,82000,1521,1121,25,302,Somewhat Satisfied,Web
1579349,Male,12/19/1980,Yes,1,49000,217,397,10,200,Somewhat Satisfied,Web
1579389,Female,5/21/2000,Yes,1,50000,625,514,10,233,Somewhat Dissatisfied,Referral
1579857,,1/26/1991,Yes,1,52000,325,586,13,219,Somewhat Dissatisfied,Referral
1579979,Male,7/5/1999,Yes,5,102000,1080,926,10,113,Somewhat Satisfied,SM
